0	parameters	time (sec)	CPU memory (MB)	id	true_motif	find_motif	average_similarity
44	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 3 -objfun cd -mod zoops <input file> -oc <output path>	8255	356	meme_44	0	10	0.4289655151807823
45	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 0 -objfun cd -mod zoops <input file> -oc <output path>	7046	423	meme_45	0	10	0.4333362934976427
46	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 1 -objfun cd -mod zoops <input file> -oc <output path>	6705	423	meme_46	0	10	0.4394688528230688
47	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 2 -objfun cd -mod zoops <input file> -oc <output path>	5776	422	meme_47	0	10	0.3715114179258528
48	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 3 -objfun cd -mod zoops <input file> -oc <output path>	6515	423	meme_48	0	10	0.41086597574610584
49	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 0 -objfun nc -mod zoops <input file> -oc <output path>	372	326	meme_49	1	9	0.4620020607660151
50	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 1 -objfun nc -mod zoops <input file> -oc <output path>	434	327	meme_50	1	10	0.4170252511831693
51	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 2 -objfun nc -mod zoops <input file> -oc <output path>	432	320	meme_51	1	10	0.48419324273332726
52	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 3 -objfun nc -mod zoops <input file> -oc <output path>	421	326	meme_52	1	10	0.4611740579642703
53	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 0 -objfun nc -mod zoops <input file> -oc <output path>	635	466	meme_53	2	9	0.43316295759426393
54	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 1 -objfun nc -mod zoops <input file> -oc <output path>	596	466	meme_54	2	10	0.4294507828268177
55	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 2 -objfun nc -mod zoops <input file> -oc <output path>	590	465	meme_55	2	10	0.4618585912019523
56	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 3 -objfun nc -mod zoops <input file> -oc <output path>	596	466	meme_56	1	10	0.40506462458509207
57	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 0 -objfun nc -mod zoops <input file> -oc <output path>	589	605	meme_57	2	9	0.4860781798009687
58	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 1 -objfun nc -mod zoops <input file> -oc <output path>	592	584	meme_58	2	10	0.5033937867335961
59	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 2 -objfun nc -mod zoops <input file> -oc <output path>	601	605	meme_59	2	10	0.5276779886686598
60	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 3 -objfun nc -mod zoops <input file> -oc <output path>	586	605	meme_60	0	10	0.40396926272039535
61	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -cefrac 0.25 -markov_order 0 -objfun ce -mod zoops <input file> -oc <output path>	4519	272	meme_61	0	10	0.1377908673590997
62	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -cefrac 0.25 -markov_order 1 -objfun ce -mod zoops <input file> -oc <output path>	4681	273	meme_62	0	10	0.17081716612406864
63	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -cefrac 0.25 -markov_order 2 -objfun ce -mod zoops <input file> -oc <output path>	5079	274	meme_63	0	10	0.13945236483492368
64	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -cefrac 0.25 -markov_order 3 -objfun ce -mod zoops <input file> -oc <output path>	5417	272	meme_64	0	10	0.181047966261659
65	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -cefrac 0.25 -markov_order 0 -objfun ce -mod zoops <input file> -oc <output path>	5750	363	meme_65	0	10	0.3271058386097463
